SAMPLE	C282_count	C484_count
TCGA-06-2567	578	231
TCGA-06-2562	946	284
TCGA-06-2563	742	443
TCGA-06-2561	381	127
TCGA-06-0185	23	456
TCGA-06-2559	614	156
TCGA-06-2569	8773	8192
TCGA-27-2523	1430	1622
TCGA-41-2571	631	448
TCGA-27-2521	250	2073
TCGA-41-2573	854	377
TCGA-41-2575	1593	1466
TCGA-27-2524	428	224
TCGA-19-1787	4349	4266
TCGA-06-0145	195	358
TCGA-12-3649	410	236
TCGA-27-1830	5118	218
TCGA-14-0790	771	955
TCGA-27-2528	323	250
TCGA-28-2509	2468	2403
TCGA-02-2486	257	207
TCGA-02-2470	308	215
TCGA-28-2502	980	133
TCGA-19-1390	4029	1723
TCGA-32-1970	1772	1821
TCGA-32-1982	821	262
TCGA-27-1836	4163	193
TCGA-06-2558	641	325
TCGA-02-2485	694	611
TCGA-27-1831	1031	169
TCGA-27-2519	611	319
TCGA-19-2619	883	959
TCGA-28-1753	8523	156
TCGA-27-1838	10966	1245
TCGA-27-1837	520	295
TCGA-41-3392	938	473
TCGA-28-1747	273	234
TCGA-19-2620	747	349
TCGA-12-3652	956	533
TCGA-12-3653	1819	1699
TCGA-12-3650	434	303
TCGA-06-0152	612	532
TCGA-06-0648	501	442
TCGA-12-1597	732	640
TCGA-28-2513	205	110
TCGA-32-2616	1591	2668
TCGA-19-2629	391	248
TCGA-32-2632	427	290
TCGA-14-2554	306	283
TCGA-32-2634	1996	2625
TCGA-32-2638	384	255
TCGA-19-2623	3246	314
TCGA-19-2625	551	166
TCGA-19-2624	638	524
TCGA-27-2526	409	328
